Nom;Client;BU;Création;Auteur;TMA (j/an);Projets (j/an);AT (j/an);Charge;Langages de dev;Framework JAVA;Framework PHP;Framework JS;Serveur d'exécution;Stockage;Autres;Sources;CI/CD actuel (emplacement);CI/CD actuel (phases);Livrable;CI/CD futur (migration prévue);Infra
Ulysse 2;Siplec (Leclerc);Digital;2015;Sigma;3;0;0;3;JAVA:8,Groovy,JS;Struts;0;0;Tomcat:8;PostgreSql:9.4;0;SVN (Sigma) : svn://sigxdvcs02/ci/java/u2;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/Ulysse%202/;build;war;0;PROD (Qomity) : (war sur tomcat : 1 pour les batchs, 4 pour les applis){EOL}REC (Qomity) : (war sur tomcat){EOL}DEV (Qomity) : (war sur tomcat)
Web commandes scapmarée (legacy);Scapmaree (Leclerc);Digital;2011;Sigma;35;5;0;40;JAVA:7,Groovy,JS;Grails:2.4;0;0;0;0;0;Git (Sigma) : https://gitn.sigma.fr/scapmar-e/webcommande;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/Scapmaree/job/LivraisonScapMareeGitParametrise;build;war;0;PROD (Qomity) : (war sur tomcat, 1 pour les batchs, 4 pour les applis){EOL}REC (Qomity) : (war sur tomcat){EOL}REC interne (Qomity) :  (Windows XP, reste à migrer){EOL}DEV (Qomity) : (war sur tomcat)
Milo;Porte Atlantique de La Rochelle;Digital;2010;Sigma;0;0;0;0;JAVA:6,Groovy,JS;Grails:1.3.6;0;0;Tomcat:6;PostgreSql:8.4;0;Git (Sigma) : https://gitn.sigma.fr/plr/portlarochelle;Jenkins (Sigma) : http://forge-logiciel-ci.groupesigma.fr/jenkins/view/PLR/;build;war;0;PROD (Client) : (2 serveurs applicatifs Tomcat + 2 serveurs BDD infogérés hors sigma){EOL}REC client (Client) : (war sur tomcat){EOL}REC interne (Qomity): (Windows XP, reste à migrer){EOL}DEV (Qomity) : (war sur tomcat)
Scapmarée mobilité;Scapmaree (Leclerc);Digital;2019;Sigma;35;10;0;45;JAVA:11,JS;0;0;Angular;0;0;Docker;Git (Sigma) : https://gitn.sigma.fr/scapmar-e/mobilitemagasins;Gitlab (Sigma) : https://gitn.sigma.fr/scapmar-e/mobilitemagasins/-/pipelines;build, deploy;docker;0;PROD (Qomity) : (2 VM avec démon docker){EOL}REC client (Qomity) : (docker){EOL}REC interne (Qomity) : (Windows XP, docker){EOL}DEV (Qomity) : (docker)
Energéo (legacy - webapp);Siplec (Leclerc);Digital;2010;Sigma;200;0;0;200;JAVA:5, JS, C++;0;0;0;0;Oracle, Oracle TimesTen;0;Git (Siplec) : https://gitlab.siplec.com/;Jenkins (Siplec Qomity) : http://ccdliv.sipn.srv.sigma.host:8080/view/CCP/;build;0;0;PROD (Qomity) :{EOL}PRE-PROD (Client) :{EOL}REC (Client) :{EOL}Validation (Client) :{EOL}Dev (Client) :
Energéo batch;Siplec (Leclerc);Digital;2022;Sigma;10;0;0;10;JAVA:17;Springbatch;0;0;0;0;Docker;Git (Siplec) : https://gitlab.siplec.com/;Gitlab (Siplec) : https://gitlab.siplec.com/;build;0;0;PROD (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}REC client (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}REC interne (Client) : (batch orchestré par VTOM, pas d'accès Sigma){EOL}DEV (Client) : (batch orchestré par VTOM, pas d'accès Sigma)
Extranet assuré;Cogévie;Digital;2022;Sigma;15;200;0;215;JAVA:11,JS,TS;Springboot:2.6.6;0;Angular:13;0;MariaDB;Strapi;Git (Sigma) : https://gitn.sigma.fr/cgv/espaceassure;Gitlab (Sigma) : https://gitn.sigma.fr/cgv/espaceassure;build;docker;0;PROD (Qomity) : https://espace-securise.cogevie.fr (Azure){EOL}REC (Qomity) : https://rec-espace-securise.cogevie.fr (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host:7002 (VM)
Affiliation en ligne;Cogévie;Digital;2020;Sigma;0;50;0;50;PHP:8.0,JS;0;Symfony:5.2;0;0;0;0;Git (Sigma) : https://gitn.sigma.fr/cgv/affiliation;Gitlab (Sigma) : https://gitn.sigma.fr/cgv/affiliation;build;docker;0;PROD (Qomity) : https://affiliation.cogevie.fr (Azure){EOL}REC (Qomity) : https://rec-affiliation.cogevie.fr (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host:8011 (VM)
Questionnaire cyber;Cogévie;Digital;2020;Sigma;0;0;0;0;PHP:8.0,JS;0;Symfony:5.2;0;0;0;0;Git (Sigma) : ;Gitlab (Sigma) : ;0;docker;0;PROD (Qomity) : https://cybersecurite.chesneau.net (Azure){EOL}REC (Qomity) : https://web-app-rec-cyber.azurewebsites.net (Azure){EOL}DEV (Qomity) : http://signxdapp005.srv.sigma.host (VM)
Chatbot;Cogévie;Digital;2020;Sigma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Azure Webapp;0;PROD (Qomity) : https://webchat.botframework.com/embed/cogevie-chatbot?s=h7Ts3FLNO8k.HRiVfsV2EIO2j_PJjSAm1uNpNpD_Q8Q_4vXkSDbgR3Y (Azure){EOL}DEV (Qomity) : (Azure)
